asin,product_title,product_price,product_original_price,product_star_rating,product_num_ratings,product_num_offers,product_minimum_offer_price,is_best_seller,is_amazon_choice,is_prime,climate_pledge_friendly,sales_volume,delivery,has_variations
B0CCSZZGT7,"TracFone Motorola Moto g Play, 32GB, Black - Prepaid Smartphone (Locked)",49.99,49.99,4.0,265,1,49.99,False,False,True,False,400,"FREE delivery Tue, Sep 24",False
B00839N5O8,VTech CS6649 Expandable Corded/Cordless Phone System with Answering System-Caller ID/Call Waiting &amp; Handset/Base Speakerphones,54.95,54.95,4.3,7887,2,36.84,False,False,True,False,500,"FREE delivery Tue, Sep 24",False
B0CV1FCLLR,"Motorola Moto G14 Dual SIM (2023) 4G LTE (4/128GB) 6.5&quot;&quot; IPS LDC Display | Android 13 | 50MP Rear Camera | 5000mAh Battery | International Model - (Steel Gray), XT2341-2",103.12,149.99,3.8,37,7,102.96,False,False,True,False,400,"FREE delivery Wed, Oct 2 Only 6 left in stock - order soon.",True
B0CQ5JGH2Y,"OnePlus 12,16GB RAM+512GB,Dual-SIM,Unlocked Android Smartphone,Supports 50W Wireless Charging,Latest Mobile Processor,Advanced Hasselblad Camera,5400 mAh Battery,2024,Flowy Emerald",799.99,899.99,4.5,506,2,715.67,False,False,True,False,400,"FREE delivery Tue, Sep 24",False
B0CTBCDCDH,Samsung Galaxy A05s A057M 128GB Dual-SIM GSM Unlocked Android Smartphone (Latin America Version) - Light Violet,117.9,117.9,4.2,62,1,117.9,False,False,True,False,200,"FREE delivery Tue, Sep 24",False
B000050FZP,"AT&amp;T 210 Basic Trimline Corded Phone, No AC Power Required, Wall-Mountable, White",15.95,18.86,4.2,19530,49,8.61,False,False,True,False,1000,"FREE delivery Thu, Sep 26 on $35 of items shipped by AmazonOr fastest delivery Tue, Sep 24",False
B09R1RKWPM,"AT&amp;T TRIMLINE 210 Corded Home Phone, No AC Power Required, Improved Easy-Wall-Mount, Lighted Big Button Keypad, 13 SpeedDial Keys, Last Number Redial, Mute, Flash, Volume Control, Beige",16.14,16.95,4.3,2962,3,9.65,False,False,True,False,1000,"FREE delivery Tue, Sep 24 on $35 of items shipped by Amazon",False
B0BNMD2NLP,"AT&amp;T GL2101 DECT 6.0 Cordless Home Phone with Call Block, Caller ID, Full-Duplex Handset Speakerphone, 2&quot; White Backlit Display, Lighted Keypad (Graphite &amp; Black)",24.95,24.95,4.4,1293,3,14.85,False,False,True,False,300,"FREE delivery Tue, Sep 24 on $35 of items shipped by Amazon",False
B0BBWDM8MC,"Nokia G100 | Verizon, T-Mobile, AT&amp;T | Android 12 | Unlocked Smartphone | 3-Day Battery | US Version | 4/128GB | 6.52-Inch Screen | 13MP Triple Camera | Polar Night",99.99,99.99,3.3,172,2,56.08,False,False,True,False,100,"FREE delivery Tue, Sep 24",False
B0D3LB85H2,"DOOGEE S118 4G Rugged Smartphone Unlocked,MTK G99 Android 14 20GB+512GB Waterproof Cell Phone, 6.58&quot; FHD+ 120Hz,10800mAh+ 33W,50MP Rear+32MP Front Rugged Phone, Dual SIM/OTG/GPS/NFC Black",299.99,299.99,3.8,31,1,299.99,False,False,True,False,100,"FREE delivery Tue, Sep 24",True
B0CRWKVZVP,"SAMSUNG Galaxy A15 5G 128GB, 6.5&quot;, GSM Unlocked, International Model A156M/DSN (Blue Black)",159.99,159.99,4.1,89,6,127.7,False,False,True,False,500,"FREE delivery Tue, Sep 24 Only 8 left in stock - order soon.",False
B0CN1Q2X3B,"SAMSUNG Galaxy A25 5G A Series Cell Phone, 128GB Unlocked Android Smartphone, AMOLED Display, Advanced Triple Camera System, Expandable Storage, Stereo Speakers, US Version, 2024, Black",249.99,299.99,3.4,262,2,164.31,False,False,True,False,500,"FREE delivery Tue, Sep 24",False
B0CRWT7WF1,Samsung Galaxy A05 A055M 64GB Dual-SIM GSM Unlocked Android Smartphone (Latin America Version) - Black,98.0,118.97,4.0,115,14,95.97,False,False,True,False,500,"FREE delivery Tue, Sep 24",False
